texts,+,-,?,communication,quality,price,safety,second_category
15032022 обратился горячую линию закрытия счет кредиту получения справки закрытии состоянии счетов 21122021 горячей линии отказали предоставлении справки ответом необходимо обращаться отделение банка это,0.013006360794002357,0.6551876404174425,0.3318059987885553,0.6367903309336123,0.32148569690892254,0.010497568942116085,0.03122640321534899,0.0
который год ткб решается глобальная проблема отправки банальной справки остатке счёте запросе приложении веб версии тп 5 минут посылания ассисента олега далёким адресом 1015 минут ожидания живого,0.016968585560523605,0.9230742399813304,0.059957174458145794,0.47202743937704406,0.5208069418701031,0.00404289420784531,0.003122724545007416,1.0
добрый день хочу оставить отзыв пользовании дебетовой карты тинькофф блэк тинькофф банк приложении пользуюсь данной картой длительное время около 4 лет считаю одним лучших предложений рынке расскажу плюсах начну,0.43424588343891934,0.14268824815927397,0.4230658684018067,0.24620876827695443,0.6699213059926967,0.07407614867243312,0.009793777057915561,0.0
добрый день сегодня зайдя свой личный кабинет обнаружила пропала вся информация всем моим счетам именно текущему счету накопительному валютному вижу могу совершить никакую операцию счету чате,0.03372675182894841,0.8774896747295886,0.08878357344146294,0.28394703767612006,0.6782016331577728,0.010442369685368253,0.02740895948073877,0.0
обслуживаюсь тинькофф пару лет возникла жесточайшая потребность получении квалифицированного инвестора возможной последующей покупкой акций акционерного общества подходил определенным параметрам указанные критерии однако,0.5248326224552868,0.3047758281270297,0.17039154941768359,0.25473357484039605,0.7099139021876106,0.025707386096149695,0.009645136875843393,0.0
начале месяца прогремела новость начиная 23го июня банк начнет снимать комиссию 12 годовых валютных счетов причине многих возник вопрос деньги перевести сохранить время,0.22559254417494473,0.27626045867704124,0.4981469971480139,0.4576589006918053,0.342165628086667,0.18767689343028024,0.012498577791247393,0.0
оставляю отзыв работе персонального менеджера тч никита хочу отметить профессионализм индивидуальный подход клиентоориентированность никиты любой вопрос решает оперативно вопрос решён сразу контролирует сроки,0.8466169870771059,0.10946856956772669,0.04391444335516756,0.4654191338954424,0.5295134998218376,0.0032113922210519363,0.001855974061668316,1.0
введенных цб ограничений выдача наличных долларов осуществляется банком заявке менее 20 дней заказывал наличные банк выдал 5000 половину суммы объяснив остальные разрешенные центральным банком выдаче 5к,0.09939386567750204,0.49450616304126693,0.4060999712812311,0.23565525890170821,0.5677476253422519,0.16636598102279285,0.030231134733246685,0.0
захожу сайт втб вхожу личный кабинет могу получить инфу движении средств карте жду 2 месяца инфа появляется пишу месяц назад жалобу получаю оптимистический ответ работаемвотвот решим проблему ага месяц,0.04432805009624198,0.8802122386204745,0.07545971128328352,0.522100614605691,0.4696351273810329,0.004744553001311829,0.0035197050119645185,1.0
банк замечательно быстро выдает кредит налажено являюсь клиентом банка 2008 года знаю банка никто ваши запросы отвечать отвечают желают это касается любого вопроса,0.5475337802379548,0.3356167628261529,0.11684945693589219,0.40721697587085925,0.5786159665780979,0.010785089993537875,0.0033819675575050513,0.0
отвратительная работа банка 11021 мной внесена самума размере 39000 банкомат отделении сбербанка внёс деньги банкомат издал странные звуки выдал ошибку неудачном внесении наличных счёт перечислил,0.005081110661361019,0.9715893231097551,0.02332956622888365,0.4225248404433825,0.5569101988674479,0.010544656635941261,0.010020304053228676,0.0
открыл первое ип работы выбрал сбербанк который момент давал такие условия рынке другие банки выбор остановил именно сбере привычно пользоваться этим банком брал кассу 2в1,0.5859571631205925,0.11537498094039533,0.2986678559390122,0.08477248982060642,0.8284665050044941,0.08246271925353597,0.004298285921363425,0.0
итак погнали несколько лет пользовался продуктами банка понимал почему такая дурная слава ходит году понял апреле радостью обнаружил очередного платежа кредитке закрылись лишние рассрочкито,0.19367872067844627,0.523380144800589,0.2829411345209648,0.21645123143414868,0.7394604653850241,0.03803012757815853,0.006058175602668694,0.0
11 июля мою почту тб поступило письмо штрафе 1000 руб гибдд ждал неделю сотрудники тб ошибочно отправили позвонят тщетно 19 июля обратился тп банка получения ответа вопросы прислали это письмо,0.036346187982502914,0.7282065279772757,0.23544728404022133,0.771037880338857,0.20406265601363793,0.0058051677238499305,0.01909429592365513,0.0
пользуюсь услугами банка 7 лет 2 разных карты накопительные счета тд сервис высоте всем рекомендовала четко быстро решается 3 недели могу получить доставкой карты мир день,0.7804597422397422,0.12059965763921705,0.0989406001210407,0.14413572569165056,0.8355739456961714,0.015018188887701303,0.0052721397244766596,0.0
хочу сказать большое спасибо сотруднику банка пму артему александровичу помощь неравнодушиеу возникли большие трудности оплатой кредита вник ситуацию очень помог продолжает помогатьон общается очень вежливо,0.8238923074018225,0.14512777104287827,0.030979921555299127,0.6615934738236409,0.3307665460707201,0.005852626754499005,0.001787353351139932,0.0
12 октября стала клиентом втб открыть вклад надёжная основа 370 дней 83 годовых сразу вклад открыть получилось мобильное приложение даёт ошибку сервис временно недоступен попытке открыть вклад,0.21965302330035133,0.3322628283022945,0.4480841483973543,0.28906498436441763,0.6714659217140101,0.035799303109036014,0.0036697908125361473,0.0
пользуюсь кредитной картой альфабанка пару лет целом вопросов проблем использовал карту исключительно деньги зарплаты октябре увидел акцию повышенный кэшбэк мвидео месяц приобрел,0.5759788191638974,0.07783737433496915,0.3461838065011335,0.10647622762157585,0.7896544149465866,0.0913345521765435,0.012534805255293947,1.0
сбербанк 2й списывает автоматически карты алименты погашение кредита карту отвязать автоплатежа получается тк единственная активная прошлый 3 суток возвращали деньги безобразие списали 3348988р 1010,0.02543902684880412,0.863960432033826,0.11060054111736983,0.22440221768622715,0.7538708298133164,0.009002870593536003,0.012724081906920289,0.0
здравствуйте 17 июля столкнулась неприятной ситуацией яровом картой причал карту деньги пришли списались счета тинькофф следующий день покидали яровое зачисления хотя деньги списаны,0.06725768252010057,0.7146069426103113,0.21813537486958812,0.2648499709891123,0.689989264189886,0.013382865471300636,0.03177789934970074,0.0
получил кредитку сказал курьеру отключить платные услуги страховки карте снял наличку сколько нужно убрал карту пользовался пользуюсь альфакартой месяца увидел случайно списание кредитке 68374р,0.07990785242820321,0.3659000194873441,0.5541921280844527,0.18345880934135808,0.7661460529168613,0.0415750425277959,0.008820095213984717,0.0
добрый день выражаю признательность профессионализм сотруднику банка главному клиентскому менеджеру дву дмитрию информацию дает четко доступно понятно учитывает предупреждает моментах сделки оперативно отвечает,0.9636347546870684,0.017143914197411247,0.019221331115520338,0.5513269450360279,0.44136423881692294,0.004554216139309249,0.002754600007740117,1.0
итогу начали служебную проверку отношении сотрудника также написано заявление мвд цао оценку ставлю 3 изза двух девушек которые очень быстро решили вопрос итоге смешенные ощущения опыта посещения данного отделения,0.22823346272729966,0.6764188927184844,0.09534764455421586,0.7662808192580473,0.2282560064424505,0.0033021227476993653,0.0021610515518027196,0.0
пользуюсь услугами банка давно последнего момента доволен чудеса начались неделю назад карту пришёл ошибочный платёж платёж систему быстрых платежей сразу обратился банк тк знал это теоретически,0.22727734601552138,0.576509607115499,0.19621304686897956,0.23518482963749257,0.736931901773398,0.0153982052302571,0.012485063358852404,0.0
02082021 передал пао сбербанк заявление приеме исполнению исполнительного листа фс 0382 взыскания денежных средств размере 21490650 руб ооо нтк ист 11082021 банк прислал смссообщение исполнительный,0.03615975374589115,0.27688874549984765,0.686951500754261,0.5153581302595278,0.440084543513276,0.011703879703750343,0.03285344652344582,0.0
являюсь клиентом банка открытие протяжении 1 месяца взяли деньги обслуживание карты 1 год вперёд истечении 1 месяца карту счёт банке планирую закрыть учитывая кредитные деньги вернул кредитную карту банк,0.14375321176550185,0.4198957701112621,0.4363510181232362,0.11425335268484636,0.7709525522794691,0.10573328395321209,0.009060811082472297,1.0
